,place,movie_title,rating,year,star_cast
183,184,The Grand Budapest Hotel,8.077117568510566,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
184,185,Gone Girl,8.077041497419392,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
185,186,Smultronstället,8.076209798990583,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
186,187,The General,8.07538415599996,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
187,188,The Third Man,8.074002173750047,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
188,189,In the Name of the Father,8.073876062390218,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
189,190,Barry Lyndon,8.073556881323377,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
190,191,The Deer Hunter,8.073488170210974,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
191,192,Hacksaw Ridge,8.071091046720055,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
192,193,Le salaire de la peur,8.070021926515329,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
193,194,Salinui chueok,8.069009237606123,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
194,195,Sherlock Jr,8.068177362823159,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,196,Relatos salvajes,8.067562615758687,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
196,197,Mr Smith Goes to Washington,8.066623597707581,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
197,198,Mad Max: Fury Road,8.063647895902344,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
198,199,Mary and Max,8.062883027321488,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
199,200,Det sjunde inseglet,8.062593323046935,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,201,How to Train Your Dragon,8.061434812975317,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
201,202,Room,8.0606844789517,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
202,203,"Monsters, Inc",8.060625544117922,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
203,204,Jaws,8.059991222212554,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
204,205,Dead Poets Society,8.059542187556309,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
205,206,The Big Lebowski,8.058440943400255,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
206,207,Tôkyô monogatari,8.055212679493271,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
207,208,La passion de Jeanne d'Arc,8.05355880068707,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,209,Ford v Ferrari,8.049090702771043,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
209,210,Hotel Rwanda,8.048989781472155,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,211,Rocky,8.04639962892898,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
211,212,Platoon,8.044377152784268,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
212,213,Ratatouille,8.042086152229613,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
213,214,Spotlight,8.040809221772104,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
214,215,The Terminator,8.040209330858708,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
215,216,Logan,8.039873216757478,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
216,217,Stand by Me,8.038306000969097,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
217,218,Rush,8.035721100719408,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
218,219,Network,8.034752515256452,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
219,220,Before Sunset,8.03243389840853,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
220,221,Into the Wild,8.031864436880541,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
221,222,The Wizard of Oz,8.030980016223069,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
222,223,Pather Panchali,8.028675195689384,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
223,224,The Best Years of Our Lives,8.027770157938095,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
224,225,Groundhog Day,8.027666664810555,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,226,The Exorcist,8.026494351863954,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226,227,To Be or Not to Be,8.025356768129912,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
227,228,The Incredibles,8.02497443575678,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
228,229,La haine,8.023871389366239,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
229,230,Pirates of the Caribbean: The Curse of the Black Pearl,8.022952772978716,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
230,231,La battaglia di Algeri,8.02261764965273,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,232,The Grapes of Wrath,8.022181363878408,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,233,Jai Bhim,8.021992328859682,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
233,234,Hachi: A Dog's Tale,8.021957995907396,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,235,Babam ve Oglum,8.020650985171523,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
235,236,Amores perros,8.01997801612638,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,237,Rebecca,8.019808561185764,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
237,238,Cool Hand Luke,8.01879333326492,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
238,239,Ah-ga-ssi,8.016738659804167,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
239,240,Les quatre cents coups,8.015060383343421,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
240,241,The Sound of Music,8.013161500104028,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
241,242,It Happened One Night,8.012732443391625,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
242,243,Persona,8.012043495146099,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
243,244,Life of Brian,8.009666258274523,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
244,245,The Iron Giant,8.006191942159399,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
245,246,Dersu Uzala,8.005830027006855,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
246,247,The Help,8.005117021820345,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
247,248,Aladdin,8.0041475714659,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248,249,Gandhi,8.002128578419217,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,250,Dances with Wolves,8.001615649604302,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
